event	period	MALE	FEMALE
death	1	0.43378226711560042	0.28065268065268067
death	2	0.70862239841427155	0.69928710304601416
death	3	0.50680272108843538	0.40517241379310354
angina	1	0.19696969696969702	0.13519813519813517
angina	2	0.78127183787561139	0.73854447439353099
angina	3	0.52076677316293929	0.42886597938144333
hospmi	1	0.16105499438832771	0.05314685314685319
hospmi	2	0.78929765886287628	0.74741506646971934
hospmi	3	0.53015873015873016	0.45419103313840159
mi_fchd	1	0.24971941638608308	0.096969696969696928
mi_fchd	2	0.77038145100972333	0.7403200826019618
mi_fchd	3	0.51791530944625408	0.44532803180914515
anychd	1	0.36419753086419748	0.21072261072261067
anychd	2	0.7405119152691968	0.72415829887773187
anychd	3	0.49659863945578231	0.41113490364025695
stroke	1	0.099887766554433211	0.089510489510489566
stroke	2	0.79738154613466339	0.74244751664106501
stroke	3	0.53230769230769237	0.44333996023856859
cvd	1	0.35072951739618408	0.19300699300699298
cvd	2	0.74675885911840967	0.72097053726169846
cvd	3	0.49488054607508536	0.42236024844720499
hyperten	1	0.72109988776655443	0.744055944055944
hyperten	2	0.51509054325955739	0.34061930783242256
hyperten	3	0.4024896265560165	0.30939226519337026
